HillaryClinton|740965834470916097|28032|10488|2016-06-09 17:56:36|Honored to have you with me, @POTUS. I'm fired up and ready to go! -H
HillaryClinton|740964361552941056|18006|10293|2016-06-09 17:50:44|"President Obama endorses Hillary: ""I don’t think there’s ever been someone so qualified to hold this office."" https://t.co/KetvKoa853"
HillaryClinton|740938181302980608|0|956|2016-06-09 16:06:43|RT @johnpodesta: We have to make sure climate denial does not find a home in the White House. https://t.co/MeATytYK6L
HillaryClinton|740932760550903808|3645|1322|2016-06-09 15:45:10|"This Oakland entrepreneur is doing more than running a small business—he's changing lives.
https://t.co/2g47l5hjDX"
HillaryClinton|740921566700163072|5806|1518|2016-06-09 15:00:41|History &gt; bedtime. https://t.co/Au3gF3dRG0
HillaryClinton|740916661012811776|0|930|2016-06-09 14:41:12|RT @sierraclub: Sierra Club has endorsed @HillaryClinton for president! Read our statement: https://t.co/slDURlrx22
HillaryClinton|740881580810502144|6723|3337|2016-06-09 12:21:48|"Donald Trump's School of Philanthropy:
1. Pledge money to causes
2. Do nothing
3. Cut a check only if you get caught
https://t.co/cEpsCCrI06"
HillaryClinton|740735469021974528|5487|1843|2016-06-09 02:41:12|“It’s a simple but powerful idea: We believe that we are stronger together.” —Hillary https://t.co/BpXIJZNcDy
HillaryClinton|740710365735100420|9239|2818|2016-06-09 01:01:27|A note from Hillary. https://t.co/LHSZvl7ODF
HillaryClinton|740653057336348672|0|2370|2016-06-08 21:13:44|"RT @ConstanceZimmer: My 8 year old said ""See Mom, it's true, anything is possible."" #ImWithHer @HillaryClinton https://t.co/suDv0mYTzg"
HillaryClinton|740635388834893824|6046|2433|2016-06-08 20:03:31|A headline 227 years in the making. https://t.co/7RDeQ3bQ3z https://t.co/IuHMa3tUTr
HillaryClinton|740623078963707909|0|1346|2016-06-08 19:14:36|RT @originalgriz: This AM I told my 5-yo daughter we could elect the first woman President. She said, “OK, I’ll be the 2nd woman President…
HillaryClinton|740614762267090944|5237|1896|2016-06-08 18:41:33|History. https://t.co/CkDyWA2Bfv https://t.co/hI52yd3ATf
HillaryClinton|740602815261908992|6302|2485|2016-06-08 17:54:05|Front pages from around the country on a big day. https://t.co/bNrJXn967S https://t.co/JA2R2R9drQ
HillaryClinton|740595397622648833|3649|1038|2016-06-08 17:24:37|If Hillary could go back in time and tell anyone she'd been nominated for president, it would be her mom. https://t.co/LfcqMPQ0ST
HillaryClinton|740584748800704512|0|4488|2016-06-08 16:42:18|"RT @GabbyGiffords: Speaking is hard for me. But come January, I want to say these two words: ""Madam President."" #ImWithHer"
HillaryClinton|740569020408180736|0|2199|2016-06-08 15:39:48|RT @GMA: WATCH: @HillaryClinton gets emotional as she looks out over cheering crowd before her speech with @DavidMuir. https://t.co/wS1gEeC…
HillaryClinton|740564514228211712|8128|3530|2016-06-08 15:21:53|"Let’s keep making history, together.
https://t.co/7IIvZVW3HY"
HillaryClinton|740526342974889988|11015|2998|2016-06-08 12:50:13|Thank you, California! https://t.co/EgtQpT6JZT
